Matras_Jerusalem_Domari_2000,Macalister_Domari_1914,English,Speaker,Citation,Length,Start,Stop,WAV,EAF,File,Token
ašti maṭēni qṭufkadi min zaraʕki,"Ḳal ""Ehe ḥăssădīnántă.""","He said ""At those harvesters.""",,DT_X_abu_hasan:06:02.6,0:04.3,6:02.6,6:06.9,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[06_026-06_069].wav,23980930-1
ama šindom aburke danabir.,"Ḳal ""Ắmă cíndōm dhắnăbūr.""","he said ""I cut off thy tail""",,DT_X_abu_hasan:04:11.9,0:02.4,4:11.9,4:14.3,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_119-04_143].wav,63386517-1
"širda ""tōraske kēkē manīror hnēna ḥašīšma?""","""Kḗkă, gṓrū, wēsrū́ri ḗrăbiʕēma?""","he said ""Why, oh though Ox, dost thou stay in this spring-grass""",,DT_X_abu_hasan:00:40.3,0:02.9,0:40.3,0:43.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_403-00_432].wav,43664475-1
"baʕd di dīs nimer bkarahra,","Mī́ndă ḥálōs nimr, dī dīs ibkărwa͡iánki mra. ",In two days the panther died of hunger,,DT_X_abu_hasan:04:45.6,0:03.4,4:45.6,4:48.9,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_456-04_489].wav,17490235-1
ama kunt biddī qumnam ehnēna.,"Wḗsră, măndṓsis gṓru des dīs, ","He stayed, left the ox ten days",,DT_X_abu_hasan:00:52.2,0:02.1,0:52.2,0:54.3,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_522-00_543].wav,75458139-1
abu ḥasan qēra giš šmaryan,Ắbu Ḥasăn nī mắndă mnḗšsăn wắlă cmắriăk. ,Abu Ḥasan did not leave a single chicken of them.,,DT_X_abu_hasan:05:07.1,0:02.4,5:07.1,5:09.5,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_071-05_095].wav,54582693-1
ū čirda nimirki wēštī bṣāṭēka.,"wēšlá͡urdă nímrăs ătústă, ",and caused the panther to sit on it,,DT_X_abu_hasan:04:32.4,0:02.2,4:32.4,4:34.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_324-04_346].wav,62412957-1
"ama biddī pyam illi mīndos ihi kadždži.""","ílli kắjjiăki štắldik kúpăki pánik.""","that which a woman is carrying in a jug of water.ː""",,DT_X_abu_hasan:06:32.9,0:03.7,6:32.9,6:36.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[06_329-06_366].wav,26165648-1
"qēra māsyas, ",(ḳārdosis),ate it,,DT_X_abu_hasan:02:56.6,0:01.0,2:56.6,2:57.5,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_566-02_575].wav,27893292-1
"qrara pēnda sēfas,","Mīndă ḥálōs ḳláră, pḗndă ḗtirwali","The bedawi betook himself, seized the sword, ",,DT_X_abu_hasan:05:41.8,0:01.7,5:41.8,5:43.4,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_418-05_434].wav,89427766-1
