Matras_Jerusalem_Domari_2000,Macalister_Domari_1914,English,Speaker,Citation,Length,Start,Stop,WAV,EAF,File,Token
"bāyos gara pašīs, ma lakadosis.","Răsrṓsis bo͡iŭs, nī-mindṓsis,",Her father followed him and did not catch him,,audacity_marriage:00:22.7,0:02.0,0:22.7,0:24.7,audacity_marriage.wav,marriage_ELAN.eaf,audacity_marriage[00_227-00_247].wav,57356856-1
… še ama bisāwakamis,-,(who I am marrying off),,audacity_marriage:00:01.3,0:02.6,0:01.3,0:03.9,audacity_marriage.wav,marriage_ELAN.eaf,audacity_marriage[00_013-00_039].wav,79085901-1
Tirdēn mahros ʕašrīn līra.,Tírdēn mínjī wī zerd. ,we paid twenty pounds. ,,audacity_marriage:00:08.7,0:01.9,0:08.7,0:10.7,audacity_marriage.wav,marriage_ELAN.eaf,audacity_marriage[00_087-00_107].wav,01629166-1
laḥadda na manīra wala kiyakak.,tă-'ád inheʔ kiyák.,until nothing more was left.,,audacity_marriage:00:38.3,0:01.9,0:38.3,0:40.2,audacity_marriage.wav,marriage_ELAN.eaf,audacity_marriage[00_383-00_402].wav,12152559-1
čirdom bāyiske demsi ʕašrīn līra badāl barimki.,ắmmă tírdōm wī zerd barōm-dḗriătă bo͡iúska,"but I offered twenty pounds in the place of my brother to her father, ",,audacity_marriage:00:24.7,0:04.3,0:24.7,0:29.0,audacity_marriage.wav,marriage_ELAN.eaf,audacity_marriage[00_247-00_290].wav,00454402-1
mištirde siryis bāyiski ū mangida mēšis.,"Imcírdă má͡umŭs-siri u mámyisk ʕăstṓsis síriŭs, u wḗsre ŭnkī́săn panj u bá͡iŭs. ",he kissed his wife's head and remained with them (old Domari: he kissed his uncle's head and wife's mother's hand and remained with them),,audacity_marriage:00:42.0,0:02.6,0:42.0,0:44.6,audacity_marriage.wav,marriage_ELAN.eaf,audacity_marriage[00_420-00_446].wav,43665115-1
barom ēra amake.,Ắră barṓm ŭnkī́im.,My brother came to me.,,audacity_marriage:00:00.0,0:01.3,0:00.0,0:01.3,audacity_marriage.wav,marriage_ELAN.eaf,audacity_marriage[00_000-00_013].wav,44683101-1
mangadēn mēšīs lāšya.,mángărdēn mnēštis láciă. ,We asked the girl from him. ,,audacity_marriage:00:05.9,0:01.9,0:05.9,0:07.8,audacity_marriage.wav,marriage_ELAN.eaf,audacity_marriage[00_059-00_078].wav,19674184-1
biddo bisāwahōšar māmis dīri.,Mángări bēsa͡uí-kerămis má͡umŭs-dīri.,He wants me to marry him to his uncle's daughter. ,,audacity_marriage:00:03.9,0:02.0,0:03.9,0:05.9,audacity_marriage.wav,marriage_ELAN.eaf,audacity_marriage[00_039-00_059].wav,39974100-1
nanas plēran!,"(Círdă ăminkắră) ""Nắnis ple.""","""bring the money"" (he said)",,audacity_marriage:00:07.8,0:00.9,0:07.8,0:08.7,audacity_marriage.wav,marriage_ELAN.eaf,audacity_marriage[00_078-00_087].wav,34514017-1
bsuṭahredi kānu,"u ibsúṭre,","and were satisfied,",,audacity_marriage:00:37.0,0:01.3,0:37.0,0:38.3,audacity_marriage.wav,marriage_ELAN.eaf,audacity_marriage[00_370-00_383].wav,18785371-1
mangara/ kān biddo mēšīman talātīn līra,"mángără mnḗšmăn tắrăn das zerd,",he wanted from us thirty pounds,,audacity_marriage:00:13.3,0:04.6,0:13.3,0:17.8,audacity_marriage.wav,marriage_ELAN.eaf,audacity_marriage[00_133-00_178].wav,87913977-1
māmis putur pardosas ū nasra mindžīs [harab fīha],Părdṓsis má͡umŭs-pitr u násră minjī́. ,Her uncle's son took her and ran off with her.,,audacity_marriage:00:19.4,0:03.3,0:19.4,0:22.7,audacity_marriage.wav,marriage_ELAN.eaf,audacity_marriage[00_194-00_227].wav,39959473-1
"nandēn di dbīḥa,","nắndēn dī káli,",and we bought two goats,,audacity_marriage:00:29.0,0:01.1,0:29.0,0:30.2,audacity_marriage.wav,marriage_ELAN.eaf,audacity_marriage[00_290-00_302].wav,17376131-1
bāyos ū barēs ū ʕealtos qēre.,u ḳắră bó͡iŭs i dà͡iŭs u bárŭs,and her father and mother and brother ate,,audacity_marriage:00:33.3,0:03.7,0:33.3,0:37.0,audacity_marriage.wav,marriage_ELAN.eaf,audacity_marriage[00_333-00_370].wav,38573459-1
mardēnsan.,u mărdḗnsăn,"and slaughtered them,",,audacity_marriage:00:30.2,0:01.0,0:30.2,0:31.2,audacity_marriage.wav,marriage_ELAN.eaf,audacity_marriage[00_302-00_312].wav,17132896-1
nhe’ wāšīman kān ple.,ắmmă inheʔ wăšī́măn ple.  ,but we didn't have the money,,audacity_marriage:00:17.8,0:01.5,0:17.8,0:19.4,audacity_marriage.wav,marriage_ELAN.eaf,audacity_marriage[00_178-00_194].wav,11720372-1
nandēn sałi ū masik.,năndḗnsăn sal u ḳēš,"and set rice and meat,",,audacity_marriage:00:31.2,0:02.2,0:31.2,0:33.3,audacity_marriage.wav,marriage_ELAN.eaf,audacity_marriage[00_312-00_333].wav,07353985-1
bāyos mā kāniš biddo dersa,Nīrdáḥră bó͡iōs indḗris,He did not wish to give her. ,,audacity_marriage:00:10.7,0:02.6,0:10.7,0:13.3,audacity_marriage.wav,marriage_ELAN.eaf,audacity_marriage[00_107-00_133].wav,78080068-1
šōni ū māmis putur garīre.,"Mī́ndă ḥálos láci u zárō ílli pădṓsis, gārī́re. ",The girl and the boy who took her (betook themselves and) returned. ,,audacity_marriage:00:40.2,0:01.8,0:40.2,0:42.0,audacity_marriage.wav,marriage_ELAN.eaf,audacity_marriage[00_402-00_420].wav,35300822-1
