Matras_Jerusalem_Domari_2000,Macalister_Domari_1914,English,Speaker,Citation,Length,Start,Stop,WAV,EAF,File,Token
qaftide arbaʕ gorwe/ arbaʕ gorwāt qaftide.,"Ká͡utirdʕ ăbsánkă štar góru, răwáḥre.","They stole (and took) with themselves four cows, and went.",,stealing_bread:02:17.4,0:07.5,2:17.4,2:24.9,stealing_bread.wav,stealing_bread.eaf,stealing_bread[02_174-02_249].wav,98680710-1
barom kān biyyinnēk. ,"Bárōm bī́răk,","My brother was a coward, ",,stealing_bread:00:42.2,0:02.1,0:42.2,0:44.4,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_422-00_444].wav,44607381-1
"kān ašti abuske di zari,","Ắme dī́s hrḗni potrḗs,","We were his two sons, ",,stealing_bread:00:01.3,0:01.4,0:01.3,0:02.6,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_013-00_026].wav,72639933-1
"ū ama nigrom biddī qaftam manas,",Níngrōm tă-párăn mónăs min tăknḗki,"I entered to take bread from the cupboard,",,stealing_bread:01:09.0,0:01.8,1:09.0,1:10.9,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_090-01_109].wav,14352139-1
putros il qašṭōṭēk gara qaftar.,Kŭštṓtă minjī́timăn gắră tă-ná͡ucer ḳa͡utíštă. ,The small one of us went to seek something to steal.,,stealing_bread:00:11.4,0:02.0,0:11.4,0:13.5,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_114-00_135].wav,98610837-1
"""hine pandor min hnēni;","""ha pándor min hnḗna;","""here is your way from here;",,stealing_bread:02:07.5,0:01.6,2:07.5,2:09.0,stealing_bread.wav,stealing_bread.eaf,stealing_bread[02_075-02_090].wav,18114914-1
na manīra nkīman mana.,nī mắndă wăšī́imăn mónă.,No bread remained with us. ,,stealing_bread:00:55.5,0:01.4,0:55.5,0:56.9,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_555-00_569].wav,28886061-1
ama kildom garom la ʕašart iyyām pandasma.,"Mī́ndēn ḥălḗmăn, rá͡urom á͡uări das dīs pándăsmă. ","(We betook ourselves), I departed on a journey of ten days on the road. ",,stealing_bread:00:13.5,0:06.1,0:13.5,0:19.5,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_135-00_195].wav,46431421-1
"dīsak ēra barom wāšīm ʕind drūzanki,","Dī́săk gắră wăsī́im bárōm Xúrkălăntă, ","One day my brother went with me to the Druzes, ",,stealing_bread:00:45.5,0:02.9,0:45.5,0:48.5,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_455-00_485].wav,36716917-1
illahi kadži nigri ū lakedosim,wínni ārḗk kắjji. ,and the woman came and I saw her. ,,stealing_bread:01:10.9,0:04.5,1:10.9,1:15.4,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_109-01_154].wav,22552007-1
"lakedom qrarēni, ","(Štírdōm min hnṓnʔ) lắherdōm ḳlarḗni,",I saw there were Bedouin. ,,stealing_bread:00:19.5,0:02.7,0:19.5,0:22.2,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_195-00_222].wav,25926161-1
"ērom, ","Ắrōm, ","I came,",,stealing_bread:00:56.9,0:00.7,0:56.9,0:57.6,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_569-00_576].wav,16842996-1
im lahamri gēna xatrak maramri.,"lăherdṓmur erhḗnă, mărdṓmmur.","If I see you here, I will kill you.""",,stealing_bread:02:09.0,0:02.9,2:09.0,2:11.9,stealing_bread.wav,stealing_bread.eaf,stealing_bread[02_090-02_119].wav,26721481-1
"ū hassaʕ šarīrēk pandži.""","u mī́ndă ḥálōs ílli ắrōs ắtuː hădóttă carirḗk kiyákăn-păci.""","and (he went in the time in which you cameː) here he isː hidden behind the things""",,stealing_bread:01:48.1,0:01.7,1:48.1,1:49.9,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_481-01_499].wav,47154098-1
kadža illi wāšīsi šarīra baši frāɣanki,ŭhŭ čartră pắci kiyăkắnki. ,that one hid himself behind the things. ,,stealing_bread:01:25.0,0:02.7,1:25.0,1:27.7,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_250-01_277].wav,50534021-1
"""nhe’ wāšīm wala ikak.""","(Círdi kắjji) ""Niheʔ unkī́imăn maṭ""","(the woman said) ""There is no-one with us.""",,stealing_bread:01:29.2,0:01.4,1:29.2,1:30.6,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_292-01_306].wav,64134983-1
"kšos min biyyiški ehri prānik, ","Ukcṓs á͡urăski gārtră pnáră min bišwa͡iánki,","His beard turned white from fear, ",,stealing_bread:02:24.9,0:03.1,2:24.9,2:27.9,stealing_bread.wav,stealing_bread.eaf,stealing_bread[02_249-02_279].wav,95765113-1
kildi kuryaki,"kíldi min kúriăki,",she went out from the house,,stealing_bread:01:36.0,0:01.4,1:36.0,1:37.4,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_360-01_374].wav,59703400-1
garom ʕala dēyak nanam mana.,wʕắmă gắrōm dḗită tă-n᷄anăn mónă;,and I went to a village to fetch bread.,,stealing_bread:00:52.7,0:02.7,0:52.7,0:55.5,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_527-00_555].wav,72691188-1
manīrom xamast iyyām ʕind drūzanki.,rá͡urōm pŭnj ărát Xúrkălăntă.,departed five nights to the Druzes. ,,stealing_bread:00:35.4,0:03.6,0:35.4,0:39.0,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_354-00_390].wav,24438521-1
qaftidom ʕāšrīn džamal [dawāy].,Ḳá͡utīrdōm wīs dăwá͡i min ŭnkī́isăn.,I stole twenty camels from among them. ,,stealing_bread:00:27.8,0:04.0,0:27.8,0:31.8,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_278-00_318].wav,07062281-1
ērī bayor maʕ ikaki. ,Lăhēmmi ínni bá͡iūr saḥíb-kerdik.,I saw that your wife was with another man. ,,stealing_bread:01:43.1,0:01.5,1:43.1,1:44.6,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_431-01_446].wav,96046804-1
ēre min hnon ū nigre kuryama.,"Ắrḗ min hnṓnă, níngrăn[di] kuriísmă.","They came down there, they entered into his house.",,stealing_bread:01:20.3,0:03.1,1:20.3,1:23.3,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_203-01_233].wav,19149139-1
štaldosis,štaldṓsis,He woke him,,stealing_bread:02:14.4,0:01.1,2:14.4,2:15.5,stealing_bread.wav,stealing_bread.eaf,stealing_bread[02_144-02_155].wav,50246927-1
ṣāḥbos ēra wāšīs,Ắră sáḥibōs ŭnkī́is ,Her friend came with her. ,,stealing_bread:01:44.6,0:01.1,1:44.6,1:45.8,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_446-01_458].wav,14458957-1
"parda bayis gēna mardosis, ","u nắndă kắjjiă u mărdṓsis génă,",and took the woman and slew her also ,,stealing_bread:01:59.0,0:01.6,1:59.0,2:00.7,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_590-02_007].wav,22311443-1
ū tātiya kildi kuryaki.,kíldi kắjji min kúriăki.,The woman came from the house. ,,stealing_bread:01:07.3,0:01.7,1:07.3,1:09.0,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_073-01_090].wav,97139638-1
"barom manīra xarābīšamma,",Mī́ndēn ḥălḗmăn; tíllă-bărōm wḗsră kuriémmă. ,"we went and my brother stayed in the tents,",,stealing_bread:00:04.0,0:01.8,0:04.0,0:05.9,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_040-00_059].wav,53774868-1
"""ama mangiškedim mēšīs mana bayirki, ","(Círdă) ""Mángerdōm ba͡iírki mónă","(he said) ""I asked your wife for bread""",,stealing_bread:01:32.8,0:02.1,1:32.8,1:34.9,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_328-01_349].wav,04912274-1
gara payyos kadždžaki mīndosis,"Gắră, nắndṓsis pó͡iōs kắjjiăki,","The husband of the woman went and took him, ",,stealing_bread:01:49.9,0:02.0,1:49.9,1:51.8,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_499-01_518].wav,48482745-1
"tirdossan fallēma,",u tirdṓssăn ḗgoniésmă,"and put them in the sack, ",,stealing_bread:02:00.7,0:01.1,2:00.7,2:01.7,stealing_bread.wav,stealing_bread.eaf,stealing_bread[02_007-02_017].wav,19128649-1
kadži ēri maʕ ikakː,Ắri săḥíb-kerdik kajjiː,the woman came (with someone)ː,,stealing_bread:01:16.7,0:01.0,1:16.7,1:17.8,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_167-01_178].wav,98853805-1
